req_count,iat_mean,iat_std,unique_path_ratio,path_entropy_mean,depth_mean,payload_len_mean,payload_len_std,error_rate_4xx,label
25,12.67215609550476,26.861506631215263,0.04,0.0,1.0,1.0,0.0,0.0,1
26,12.389764785766602,26.355128408005225,0.038461538461538464,0.0,1.0,1.0,0.0,0.0,1
27,12.158558918879582,25.869172576369017,0.037037037037037035,0.0,1.0,1.0,0.0,0.0,1
28,11.815998289320204,25.445617012854694,0.03571428571428571,0.0,1.0,1.0,0.0,0.0,1
29,11.630782059260778,25.00562729429339,0.034482758620689655,0.0,1.0,1.0,0.0,0.0,1
30,11.337633790640995,24.61962985763082,0.03333333333333333,0.0,1.0,1.0,0.0,0.0,1
31,11.264395713806152,24.2090379647129,0.03225806451612903,0.0,1.0,1.0,0.0,0.0,1
32,11.137639322588521,23.825486526685758,0.03125,0.0,1.0,1.0,0.0,0.0,1
33,10.979063808918,23.466873646176357,0.030303030303030304,0.0,1.0,1.0,0.0,0.0,1
34,10.752020460186582,23.1442436639555,0.029411764705882353,0.0,1.0,1.0,0.0,0.0,1
35,10.547357447007123,22.831638036340006,0.02857142857142857,0.0,1.0,1.0,0.0,0.0,1
36,10.546548025948661,22.50310862589341,0.027777777777777776,0.0,1.0,1.0,0.0,0.0,1
37,10.488145881228977,22.19105428197891,0.02702702702702703,0.0,1.0,1.0,0.0,0.0,1
38,10.279803662686735,21.924786341615146,0.02631578947368421,0.0,1.0,1.0,0.0,0.0,1
39,10.154912346287778,21.647712922205596,0.02564102564102564,0.0,1.0,1.0,0.0,0.0,1
40,10.072634770320011,21.374394330860774,0.025,0.0,1.0,1.0,0.0,0.0,1
41,9.990125894546509,21.11181222809946,0.024390243902439025,0.0,1.0,1.0,0.0,0.0,1
42,9.954202465894745,20.853999458635755,0.023809523809523808,0.0,1.0,1.0,0.0,0.0,1
43,9.845489547366189,20.61599730499173,0.023255813953488372,0.0,1.0,1.0,0.0,0.0,1
44,9.745625562446062,20.385142440478802,0.022727272727272728,0.0,1.0,1.0,0.0,0.0,1
45,9.667066010561856,20.158745036099187,0.022222222222222223,0.0,1.0,1.0,0.0,0.0,1
46,9.5957703060574,19.939109841020105,0.021739130434782608,0.0,1.0,1.0,0.0,0.0,1
47,9.45511071578316,19.74374956429397,0.02127659574468085,0.0,1.0,1.0,0.0,0.0,1
48,9.340910201377056,19.547931291289814,0.020833333333333332,0.0,1.0,1.0,0.0,0.0,1
49,9.210675954818726,19.3638300912819,0.02040816326530612,0.0,1.0,1.0,0.0,0.0,1
50,9.827390009043167,19.63572897106772,0.02,0.0,1.0,1.0,0.0,0.0,1
3,87.34190464019775,0.9063482284545898,1.0,3.236654166907052,1.3333333333333333,12.0,3.265986323710904,1.0,1
4,93.99072329203288,9.43192576681965,1.0,3.2372159393309468,1.5,12.25,2.8613807855648994,1.0,1
5,99.63291883468628,12.736719725962061,1.0,3.2941008787334214,1.6,12.6,2.65329983228432,1.0,1
6,109.42316055297852,22.653356376319334,1.0,3.2450840656111843,1.5,11.833333333333334,2.9674156357941426,1.0,1
